id,r,h
1,3e3,5e-2
2,3e3,5e-2
3,3e3,5e-2
4,3e3,5e-2
5,3e3,5e-2
6,3e3,5e-2
7,3e3,5e-2
8,3e3,5e-2
9,3e3,5e-2
10,3e3,5e-2
11,3e3,5e-2
12,3e3,10e-2
13,3e3,10e-2
14,3e3,10e-2
15,3e3,10e-2
16,3e3,10e-2
17,3e3,10e-2
18,3e3,10e-2
19,3e3,10e-2
20,3e3,10e-2
21,3e3,10e-2
22,3e3,10e-2
23,3e3,15e-2
24,3e3,15e-2
25,3e3,15e-2
26,3e3,15e-2
27,3e3,15e-2
28,3e3,15e-2
29,3e3,15e-2
30,3e3,15e-2
31,3e3,15e-2
32,3e3,15e-2
33,3e3,15e-2
34,3e3,20e-2
35,3e3,20e-2
36,3e3,20e-2
37,3e3,20e-2
38,3e3,20e-2
39,3e3,20e-2
40,3e3,20e-2
41,3e3,20e-2
42,3e3,20e-2
43,3e3,20e-2
44,3e3,20e-2
